"날짜","종가","시가","고가","저가","거래량","변동 %"
"2021- 02- 08","83,000","83,800","84,200","83,000","2.14K","-0.60%"
"2021- 02- 07","83,500","83,500","83,500","83,500","","0.00%"
"2021- 02- 05","83,500","83,100","84,000","82,500","17.14M","1.21%"
"2021- 02- 04","82,500","83,500","83,800","82,100","2.51K","-2.48%"
"2021- 02- 03","84,600","84,800","85,400","83,400","8.89K","0.24%"
"2021- 02- 02","84,400","84,100","86,300","83,700","0.51K","1.69%"
"2021- 02- 01","83,000","81,800","83,400","81,000","1.45K","1.22%"
"2021- 01- 31","82,000","82,000","82,000","82,000","","0.00%"
"2021- 01- 29","82,000","84,500","85,000","82,000","36.70M","-2.03%"
"2021- 01- 28","83,700","83,400","85,600","83,300","2.27K","-2.22%"
"2021- 01- 27","85,600","86,700","87,700","85,600","25.96K","-1.27%"
"2021- 01- 26","86,700","88,800","89,200","86,500","6.49K","-3.02%"
"2021- 01- 25","89,400","87,100","89,900","86,400","25.11K","3.00%"
"2021- 01- 24","86,800","86,800","86,800","86,800","","0.00%"
"2021- 01- 22","86,800","89,000","89,700","86,800","30.43M","-1.48%"
"2021- 01- 21","88,100","87,500","88,600","86,500","5.95K","1.03%"
"2021- 01- 20","87,200","88,900","88,900","86,500","3.38K","0.23%"
"2021- 01- 19","87,000","84,600","88,000","83,600","7.56K","2.35%"
"2021- 01- 18","85,000","86,700","87,300","84,200","19.68K","-3.41%"
"2021- 01- 17","88,000","88,000","88,000","88,000","","0.00%"
"2021- 01- 15","88,000","89,800","91,800","88,000","33.12M","-1.90%"
"2021- 01- 14","89,700","88,800","90,000","88,700","8.26K","0.00%"
"2021- 01- 13","89,700","89,900","91,100","89,200","35.22K","-0.99%"
"2021- 01- 12","90,600","90,500","91,300","87,900","29.49K","-0.44%"
"2021- 01- 11","91,000","90,100","96,700","90,000","41.26K","2.48%"
"2021- 01- 10","88,800","88,800","88,800","88,800","","0.00%"
"2021- 01- 08","88,800","83,300","90,000","83,000","57.52M","7.12%"
"2021- 01- 07","82,900","82,800","84,200","82,700","32.47M","0.85%"
"2021- 01- 06","82,200","83,400","84,400","82,100","13.53K","-2.03%"
"2021- 01- 05","83,900","81,700","83,900","81,700","8.14K","1.08%"
"2021- 01- 04","83,000","81,000","84,300","80,300","24.25K","2.47%"
"2020- 12- 30","81,000","77,400","81,300","77,300","29.12M","3.45%"
"2020- 12- 29","78,300","78,800","78,900","77,300","12.86K","-0.51%"
"2020- 12- 28","78,700","79,000","80,100","78,300","31.84K","1.16%"
"2020- 12- 27","77,800","77,800","77,800","77,800","","0.00%"
"2020- 12- 24","77,800","74,100","78,800","74,000","32.32M","5.28%"
"2020- 12- 23","73,900","72,300","74,000","72,300","6.05K","2.21%"
"2020- 12- 22","72,300","72,500","73,200","72,200","0.89K","-0.96%"
"2020- 12- 21","73,000","73,100","73,400","72,000","1.65K","0.00%"
"2020- 12- 20","73,000","73,000","73,000","73,000","","0.00%"
"2020- 12- 18","73,000","73,300","73,700","73,000","17.38M","-0.41%"
"2020- 12- 17","73,300","73,500","73,700","72,600","1.69K","-0.68%"
"2020- 12- 16","73,800","74,200","74,500","73,400","0.66K","0.00%"
"2020- 12- 15","73,800","73,800","74,100","73,300","20.48M","0.00%"
"2020- 12- 14","73,800","73,600","74,500","73,200","6.44K","0.54%"
